X--Trace 1::[V Out 1],Y--Trace 1::[V Out 1],,X--Trace 2::[V Out 2],Y--Trace 2::[V Out 2],,X--Trace 3::[V Input],Y--Trace 3::[V Input]
0,5.313633545,,0,0.627269571,,0,10
0.0000625,5.315606082,,0.0000625,0.627289092,,0.0000625,10.00392698
0.000125,5.317579314,,0.000125,0.627308637,,0.000125,10.0078539
0.00025,5.321525559,,0.00025,0.62734771,,0.00025,10.01570732
0.0005,5.329416296,,0.0005,0.627425742,,0.0005,10.03141076
0.001,5.345183951,,0.001,0.627581286,,0.001,10.06279052
0.002,5.376609562,,0.002,0.627889785,,0.002,10.12533323
0.004,5.438589226,,0.004,0.628492423,,0.004,10.24868989
0.008,5.555680255,,0.008,0.629610562,,0.008,10.48175367
0.01425,5.705717043,,0.01425,0.63100705,,0.01425,10.78043041
0.0205,5.796060437,,0.0205,0.631830059,,0.0205,10.96029369
0.02675,5.812971021,,0.02675,0.631983422,,0.02675,10.99396096
0.033,5.753877495,,0.033,0.631450112,,0.033,10.87630668
0.03925,5.62776572,,0.03925,0.630290165,,0.03925,10.62524266
0.0455,5.45381595,,0.0455,0.628641896,,0.0455,10.27899111
0.05175,5.258492615,,0.05175,0.626720585,,0.05175,9.890265689
0.058,5.071525966,,0.058,0.624806795,,0.058,9.518246326
0.06425,4.921391015,,0.06425,0.623213996,,0.06425,9.219569593
0.0705,4.830967325,,0.0705,0.622230396,,0.0705,9.039706314
0.07675,4.81404131,,0.07675,0.622046228,,0.07675,9.006039045
0.083,4.873193518,,0.083,0.622696911,,0.083,9.12369332
0.08925,4.999403306,,0.08925,0.624052908,,0.08925,9.374757344
0.0955,5.173433051,,0.0955,0.625861087,,0.0955,9.721008894
0.10175,5.368771819,,0.10175,0.627813247,,0.10175,10.10973431
0.108,5.555680342,,0.108,0.629610736,,0.108,10.48175367
0.11425,5.705717244,,0.11425,0.631007452,,0.11425,10.78043041
0.1205,5.796060441,,0.1205,0.631830067,,0.1205,10.96029369
0.12675,5.812971018,,0.12675,0.631983416,,0.12675,10.99396096
0.133,5.753877495,,0.133,0.631450111,,0.133,10.87630668
0.13925,5.62776572,,0.13925,0.630290165,,0.13925,10.62524266
0.1455,5.45381595,,0.1455,0.628641896,,0.1455,10.27899111
0.15175,5.258492615,,0.15175,0.626720585,,0.15175,9.890265689
0.158,5.071525966,,0.158,0.624806795,,0.158,9.518246326
0.16425,4.921391015,,0.16425,0.623213996,,0.16425,9.219569593
0.1705,4.830967325,,0.1705,0.622230396,,0.1705,9.039706314
0.17675,4.81404131,,0.17675,0.622046228,,0.17675,9.006039045
