X--Trace 1::[V Input],Y--Trace 1::[V Input],,X--Trace 2::[V Output],Y--Trace 2::[V Output]
0,0,,0,2.50557E-21
0.000000625,0.039269807,,0.000000625,0.000179118
0.00000125,0.078539009,,0.00000125,0.000653432
0.0000025,0.157073173,,0.0000025,0.002984286
0.000005,0.314107591,,0.000005,0.030744665
0.00001,0.627905195,,0.00001,0.245864315
1.73378E-05,1.087213809,,1.73378E-05,0.659546177
2.64612E-05,1.654958452,,2.64612E-05,1.199246019
4.4708E-05,2.772290126,,4.4708E-05,2.286467613
8.12017E-05,4.883562235,,8.12017E-05,4.367422901
0.000134876,7.495949336,,0.000134876,6.958031712
0.000197376,9.458323739,,0.000197376,8.908785579
0.000259876,9.980754094,,0.000259876,9.428592925
0.000322376,8.983705113,,0.000322376,8.436729535
0.000384876,6.618968466,,0.000384876,6.087258909
0.000447376,3.246553871,,0.000447376,2.751945019
0.000509876,-0.62011912,,0.000509876,0.240005518
0.000572376,-4.392384597,,0.000572376,3.881756625
0.000634876,-7.495949336,,0.000634876,6.958034602
0.000697376,-9.458323739,,0.000697376,8.908817504
0.000759876,-9.980754094,,0.000759876,9.428596509
0.000822376,-8.983705113,,0.000822376,8.436725706
0.000884876,-6.618968466,,0.000884876,6.087264048
0.000947376,-3.246553871,,0.000947376,2.75193369
0.001009876,0.62011912,,0.001009876,0.240116352
0.001072376,4.392384597,,0.001072376,3.881748663
0.001134498,7.480210865,,0.001134498,6.942406096
0.001196998,9.450587839,,0.001196998,8.901118635
0.001259498,9.982198483,,0.001259498,9.430036956
0.001321998,8.994109898,,0.001321998,8.447069649
0.001384498,6.636749612,,0.001384498,6.104914794
0.001446998,3.26900436,,0.001446998,2.774000276
0.001509498,-0.596417172,,0.001509498,0.22056402
0.001571998,-4.371039596,,0.001571998,3.860651034
0.001634498,-7.480210865,,0.001634498,6.942408503
0.001696998,-9.450587839,,0.001696998,8.901115183
0.001759498,-9.982198483,,0.001759498,9.430040157
0.001821998,-8.994109898,,0.001821998,8.447066088
0.001884498,-6.636749612,,0.001884498,6.104919658
0.001946998,-3.26900436,,0.001946998,2.773989615
0.002009498,0.596417172,,0.002009498,0.220677422
0.002071998,4.371039596,,0.002071998,3.860643433
0.002134356,7.474298181,,0.002134356,6.936539774
0.002196856,9.447673195,,0.002196856,8.898212516
0.002259356,9.982725608,,0.002259356,9.430567715
0.002321856,8.99799854,,0.002321856,8.450929959
0.002384356,6.643407762,,0.002384356,6.111531867
0.002446856,3.277418375,,0.002446856,2.782254471
0.002509356,-0.58752825,,0.002509356,0.213498141
0.002571856,-4.363029024,,0.002571856,3.852721591
0.002634356,-7.474298181,,0.002634356,6.936542584
0.002696856,-9.447673195,,0.002696856,8.898209341
0.002759356,-9.982725608,,0.002759356,9.430570657
0.002821856,-8.99799854,,0.002821856,8.450926686
0.002884356,-6.643407762,,0.002884356,6.111536337
0.002946856,-3.277418375,,0.002946856,2.782244698
0.003009356,0.58752825,,0.003009356,0.213605857
0.003071856,4.363029024,,0.003071856,3.852714583
0.003134356,7.474298181,,0.003134356,6.936546386
0.003196856,9.447673195,,0.003196856,8.898206317
0.003259356,9.982725608,,0.003259356,9.430573458
0.003321856,8.99799854,,0.003321856,8.450923566
0.003384356,6.643407762,,0.003384356,6.111540591
0.003446856,3.277418375,,0.003446856,2.782235413
0.003509356,-0.58752825,,0.003509356,0.213708236
0.003571856,-4.363029024,,0.003571856,3.852707948
0.003634209,-7.468161701,,0.003634209,6.930454905
0.003696709,-9.444643406,,0.003696709,8.895189541
0.003759209,-9.983263768,,0.003759209,9.431111596
0.003821709,-9.00202272,,0.003821709,8.454922691
0.003884209,-6.650305317,,0.003884209,6.118389822
0.003946709,-3.286139214,,0.003946709,2.790803866
0.004009209,0.578311795,,0.004009209,0.206307121
0.004071709,4.354720076,,0.004071709,3.844492326
0.004134209,7.468161701,,0.004134209,6.930456751
0.004196709,9.444643406,,0.004196709,8.895186744
0.004259209,9.983263768,,0.004259209,9.43111419
0.004321709,9.00202272,,0.004321709,8.454919809
0.004384209,6.650305317,,0.004384209,6.118393751
0.004446709,3.286139214,,0.004446709,2.790795314
0.004509209,-0.578311795,,0.004509209,0.206404941
0.004571709,-4.354720076,,0.004571709,3.844486182
0.004634117,-7.46429105,,0.004634117,6.926615577
0.004696617,-9.442729813,,0.004696617,8.893280536
0.004759117,-9.983598561,,0.004759117,9.431449766
0.004821617,-9.004554929,,0.004821617,8.457435392
0.004884117,-6.654649436,,0.004884117,6.122708641
0.004946617,-3.291633891,,0.004946617,2.796191675
0.005,-1.22465E-14,,0.005,0.00682481
