X--Trace 1::[Channel A],Y--Trace 1::[Channel A],,X--Trace 2::[Channel B],Y--Trace 2::[Channel B]
0,0,,0,-2.46716e-019
1e-007,0.000639775,,1e-007,-2.46872e-019
2e-007,0.00127955,,2e-007,4.35229e-013
4e-007,0.0025591,,4e-007,2.61139e-012
7.59541e-007,0.00485936,,7.59541e-007,1.70258e-011
1.10321e-006,0.00705809,,1.10321e-006,5.05699e-011
1.71753e-006,0.0109883,,1.71753e-006,1.89855e-010
2.53897e-006,0.0162437,,2.53897e-006,6.099e-010
3.86152e-006,0.024705,,3.86152e-006,2.14774e-009
5.75032e-006,0.0367891,,5.75032e-006,7.08577e-009
8.67882e-006,0.0555249,,8.67882e-006,2.44183e-008
1.29669e-005,0.0829587,,1.29669e-005,8.16861e-008
1.94695e-005,0.12456,,1.94695e-005,2.78897e-007
2.90149e-005,0.185626,,2.90149e-005,9.39538e-007
3.90149e-005,0.249598,,3.90149e-005,2.32551e-006
4.90149e-005,0.313567,,4.90149e-005,4.73064e-006
5.90149e-005,0.377531,,5.90149e-005,8.53792e-006
6.90149e-005,0.44149,,6.90149e-005,1.42191e-005
7.90149e-005,0.505443,,7.90149e-005,2.23574e-005
8.90149e-005,0.569388,,8.90149e-005,3.36701e-005
9.90149e-005,0.633325,,9.90149e-005,4.903e-005
0.000109015,0.697254,,0.000109015,6.9482e-005
0.000119015,0.761172,,0.000119015,9.62522e-005
0.000129015,0.82508,,0.000129015,0.000130746
0.000139015,0.888975,,0.000139015,0.000174532
0.000149015,0.952859,,0.000149015,0.000229316
0.000159015,1.01673,,0.000159015,0.0002969
0.000169015,1.08058,,0.000169015,0.000379137
0.000179015,1.14442,,0.000179015,0.000477888
0.000189015,1.20825,,0.000189015,0.00059498
0.000199015,1.27205,,0.000199015,0.000732169
0.000209015,1.33584,,0.000209015,0.00089112
0.000219015,1.39961,,0.000219015,0.00107339
0.000229015,1.46336,,0.000229015,0.00128041
0.000239015,1.52709,,0.000239015,0.00151351
0.000249015,1.5908,,0.000249015,0.0017739
0.000259015,1.65448,,0.000259015,0.00206267
0.000269015,1.71814,,0.000269015,0.00238081
0.000279015,1.78178,,0.000279015,0.00272924
0.000289015,1.84539,,0.000289015,0.00310876
0.000299015,1.90897,,0.000299015,0.00352011
0.000309015,1.97253,,0.000309015,0.00396397
0.000319015,2.03606,,0.000319015,0.00444094
0.000329015,2.09956,,0.000329015,0.00495157
0.000339015,2.16303,,0.000339015,0.00549636
0.000349015,2.22647,,0.000349015,0.00607576
0.000359015,2.28988,,0.000359015,0.00669019
0.000369015,2.35326,,0.000369015,0.00734003
0.000379015,2.4166,,0.000379015,0.00802562
0.000389015,2.47991,,0.000389015,0.00874727
0.000399015,2.54318,,0.000399015,0.00950527
0.000409015,2.60642,,0.000409015,0.0102999
0.000419015,2.66962,,0.000419015,0.0111313
0.000429015,2.73278,,0.000429015,0.0119999
0.000439015,2.7959,,0.000439015,0.0129057
0.000449015,2.85899,,0.000449015,0.0138489
0.000459015,2.92203,,0.000459015,0.0148298
0.000469015,2.98503,,0.000469015,0.0158485
0.000479015,3.04799,,0.000479015,0.016905
0.000489015,3.1109,,0.000489015,0.0179996
0.000499015,3.17378,,0.000499015,0.0191324
0.000509015,3.2366,,0.000509015,0.0203035
0.000519015,3.29938,,0.000519015,0.0215129
0.000529015,3.36211,,0.000529015,0.0227608
0.000539015,3.4248,,0.000539015,0.0240472
0.000549015,3.48744,,0.000549015,0.0253722
0.000559015,3.55002,,0.000559015,0.0267358
0.000569015,3.61256,,0.000569015,0.0281382
0.000579015,3.67505,,0.000579015,0.0295794
0.000589015,3.73748,,0.000589015,0.0310594
0.000599015,3.79986,,0.000599015,0.0325783
0.000609015,3.86218,,0.000609015,0.0341361
0.000619015,3.92446,,0.000619015,0.0357328
0.000629015,3.98667,,0.000629015,0.0373685
0.000639015,4.04883,,0.000639015,0.0390431
0.000649015,4.11093,,0.000649015,0.0407567
0.000659015,4.17297,,0.000659015,0.0425093
0.000669015,4.23496,,0.000669015,0.044301
