X--Trace 1::[Channel A],Y--Trace 1::[Channel A],Y--Trace 2::[Channel B]
0,0,-2.46716E-19
1E-07,0.000639775,-2.46872E-19
2E-07,0.00127955,4.35229E-13
4E-07,0.0025591,2.61139E-12
7.59541E-07,0.00485936,1.70258E-11
1.10321E-06,0.00705809,5.05699E-11
1.71753E-06,0.0109883,1.89855E-10
2.53897E-06,0.0162437,6.099E-10
3.86152E-06,0.024705,2.14774E-09
5.75032E-06,0.0367891,7.08577E-09
8.67882E-06,0.0555249,2.44183E-08
1.29669E-05,0.0829587,8.16861E-08
1.94695E-05,0.12456,2.78897E-07
2.90149E-05,0.185626,9.39538E-07
3.90149E-05,0.249598,2.32551E-06
4.90149E-05,0.313567,4.73064E-06
5.90149E-05,0.377531,8.53792E-06
6.90149E-05,0.44149,1.42191E-05
7.90149E-05,0.505443,2.23574E-05
8.90149E-05,0.569388,3.36701E-05
9.90149E-05,0.633325,4.903E-05
0.000109015,0.697254,6.9482E-05
0.000119015,0.761172,9.62522E-05
0.000129015,0.82508,0.000130746
0.000139015,0.888975,0.000174532
0.000149015,0.952859,0.000229316
0.000159015,1.01673,0.0002969
0.000169015,1.08058,0.000379137
0.000179015,1.14442,0.000477888
0.000189015,1.20825,0.00059498
0.000199015,1.27205,0.000732169
0.000209015,1.33584,0.00089112
0.000219015,1.39961,0.00107339
0.000229015,1.46336,0.00128041
0.000239015,1.52709,0.00151351
0.000249015,1.5908,0.0017739
0.000259015,1.65448,0.00206267
0.000269015,1.71814,0.00238081
0.000279015,1.78178,0.00272924
0.000289015,1.84539,0.00310876
0.000299015,1.90897,0.00352011
0.000309015,1.97253,0.00396397
0.000319015,2.03606,0.00444094
0.000329015,2.09956,0.00495157
0.000339015,2.16303,0.00549636
0.000349015,2.22647,0.00607576
0.000359015,2.28988,0.00669019
0.000369015,2.35326,0.00734003
0.000379015,2.4166,0.00802562
0.000389015,2.47991,0.00874727
0.000399015,2.54318,0.00950527
0.000409015,2.60642,0.0102999
0.000419015,2.66962,0.0111313
0.000429015,2.73278,0.0119999
0.000439015,2.7959,0.0129057
